filename,ocr_text,text_length
Cars109.jpg,CZ17K00,7
Cars12.jpg,MH12BG7237,10
Cars120.jpg,B2228HM,7
Cars156.jpg,ATEPRIV,7
Cars161.jpg,M666Y08,7
Cars164.jpg,GTSTATE,7
Cars165.jpg,1153TN21AU,10
Cars166.jpg,IMACAR,6
Cars178.jpg,52292Z,6
Cars179.jpg,CNLIFORNIE4SZW590,17
Cars183.jpg,,0
Cars198.jpg,MHO1AV8866,10
Cars202.jpg,KWID,4
Cars208.jpg,V-8,3
Cars21.jpg,1RQ,3
Cars218.jpg,2525,4
Cars230.jpg,LR33TEE,7
Cars25.jpg,BYHM-136,8
Cars254.jpg,GOT2P00,7
Cars255.jpg,MH20EJ0364,10
Cars2572.jpg,,0
Cars260.jpg,IM405333,8
Cars265.jpg,M路771276,8
Cars2662.jpg,KPCU5600G9,10
Cars2664.jpg,CH 998420,9
Cars273.jpg,,0
Cars276.jpg,CZ17K00,7
Cars281.jpg,MH01DB0001,10
Cars307.jpg,M路906090路K,10
Cars319.jpg,FALLYOU,7
Cars32.jpg,MANISA,6
Cars323.jpg,TN99F2378,9
Cars328.jpg,,0
Cars333.jpg,MH20EJ0364,10
Cars3342.jpg,E8OLA,5
Cars340.jpg,,0
Cars342.jpg,,0
Cars343.jpg,SKIPGAS,7
Cars355.jpg,665,3
Cars370.jpg,CH01AN0001,10
Cars393.jpg,M路771276,8
Cars396.jpg,EREAP3R,7
Cars401.jpg,5514HR26BC,10
Cars415.jpg,3NHW,4
Cars416.jpg,172TMJ,6
Cars4192.jpg,MH149239GN,10
Cars42.jpg,BYHM-136,8
Cars422.jpg,MH20EE7596,10
Cars423.jpg,P3RV P,6
Cars77.jpg,26CU6799HR,10
Cars8.jpg,G526JHD,7
Cars84.jpg,HR26BC9SS14,11
Cars85.jpg,VU63GTY,7
Cars86.jpg,MH14DX9937,10
